"","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Promoted"
"1",27,15,67,61,11,12,1,1,1,4,0,0,5,9,0.197,0.269,0.295,0.564,18,0,1,0,0,1,0
"2",32,58,208,174,13,35,9,0,0,10,1,2,27,49,0.201,0.307,0.253,0.56,44,5,0,6,1,0,1
"3",36,33,137,110,19,34,5,0,11,39,0,0,26,31,0.309,0.438,0.655,1.093,72,2,0,0,1,2,0
"4",26,99,417,354,43,87,15,2,2,39,6,0,39,82,0.246,0.341,0.316,0.657,112,14,15,3,6,1,1
"5",27,71,286,250,26,55,13,2,1,23,12,3,32,55,0.22,0.308,0.3,0.608,75,7,1,0,3,2,0
"6",33,98,425,337,63,84,14,1,20,66,2,0,81,127,0.249,0.4,0.475,0.875,160,7,5,0,2,4,0
"7",30,69,321,266,57,84,24,4,7,25,17,3,49,73,0.316,0.417,0.515,0.932,137,4,1,0,5,0,1
"8",35,39,166,127,17,35,5,1,2,16,1,1,37,25,0.276,0.44,0.378,0.818,48,2,1,0,1,3,1
"9",27,64,255,236,27,61,13,1,6,25,3,1,16,75,0.259,0.311,0.398,0.709,94,4,2,1,0,0,0
"10",23,84,386,327,50,87,25,2,13,56,0,1,53,57,0.266,0.366,0.474,0.84,155,7,0,3,3,1,1
"11",26,24,75,71,6,16,3,0,1,7,7,2,4,22,0.225,0.267,0.31,0.577,22,0,0,0,0,0,0
"12",24,130,550,503,54,128,31,2,15,77,1,0,34,103,0.255,0.307,0.414,0.721,208,15,7,0,6,1,1
"13",33,31,124,108,18,21,1,0,3,7,1,2,15,29,0.194,0.298,0.287,0.585,31,4,1,0,0,1,1
"14",25,33,133,126,19,29,8,1,9,21,5,1,7,43,0.23,0.271,0.524,0.795,66,0,0,0,0,0,1
"15",30,29,116,109,7,19,5,0,4,18,0,0,4,29,0.174,0.209,0.33,0.539,36,1,1,1,1,0,0
